epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2049.31,0.92434,1.66978,0.92785,1.1308,0.48115,0.57441,0.56329,0.37037,0.46982,0.55675,0.5208,0.24994,1.22953,2.36911,1.34728,1.32147,0.000625062,0.000625062,0.000625062
103,2068.5,0.95081,1.68118,0.93357,1.1668,0.53584,0.75929,0.67101,0.42264,0.53862,0.75893,0.68104,0.32977,1.28159,2.18491,1.43695,1.333,0.000618875,0.000618875,0.000618875
104,2087.71,1.0126,1.6346,1.00418,1.21483,0.69601,0.56892,0.63603,0.42436,0.68127,0.55627,0.6226,0.31671,1.28757,2.2922,1.42548,1.38493,0.000612687,0.000612687,0.000612687
105,2107.88,0.99982,1.73251,0.96413,1.17096,0.62047,0.62507,0.61254,0.42268,0.57058,0.71323,0.64254,0.3196,1.21312,2.21682,1.34276,1.34349,0.0006065,0.0006065,0.0006065
106,2126.99,1.01265,1.77806,1.04717,1.18499,0.64217,0.60917,0.60954,0.40431,0.63232,0.59965,0.62025,0.30428,1.24839,2.24805,1.36979,1.37973,0.000600313,0.000600313,0.000600313
107,2146.16,0.96492,1.67316,0.97945,1.14859,0.66817,0.56548,0.67173,0.44322,0.59019,0.59476,0.61965,0.34379,1.2481,2.29762,1.35008,1.34289,0.000594125,0.000594125,0.000594125
108,2165.7,0.98089,1.65585,0.97714,1.17147,0.74548,0.6213,0.65385,0.39315,0.46058,0.62234,0.56032,0.28225,1.23205,2.38345,1.34594,1.31215,0.000587938,0.000587938,0.000587938
109,2185.17,0.95017,1.646,0.89345,1.14277,0.47029,0.66586,0.55213,0.35047,0.51948,0.53427,0.55717,0.27419,1.18922,2.3176,1.45205,1.29853,0.00058175,0.00058175,0.00058175
110,2204.72,0.97158,1.66045,0.91243,1.16644,0.41053,0.68112,0.49272,0.31335,0.54428,0.50896,0.48943,0.26765,1.23239,2.25495,1.62624,1.32069,0.000575563,0.000575563,0.000575563
111,2224.14,0.90405,1.56641,0.92705,1.12795,0.50052,0.59994,0.50436,0.32228,0.49805,0.59759,0.51848,0.26831,1.22336,2.19707,1.95493,1.31816,0.000569375,0.000569375,0.000569375
112,2243.06,0.90645,1.60251,0.88163,1.14183,0.69595,0.5054,0.61922,0.41718,0.57906,0.53131,0.57806,0.30301,1.2066,2.15135,1.56399,1.28417,0.000563187,0.000563187,0.000563187
113,2262.77,0.93409,1.60352,0.9062,1.16889,0.57363,0.52007,0.64015,0.42955,0.50418,0.66291,0.58039,0.31262,1.19625,2.17073,1.56163,1.28977,0.000557,0.000557,0.000557
114,2282.08,0.88137,1.52408,0.86978,1.11526,0.62005,0.60922,0.62987,0.38176,0.55605,0.69586,0.55422,0.31172,1.22282,2.20823,1.31189,1.30569,0.000550813,0.000550813,0.000550813
115,2301.25,0.94526,1.61351,0.90185,1.15472,0.57037,0.61957,0.62601,0.40755,0.61635,0.68075,0.64608,0.30957,1.22615,2.24634,1.25865,1.30927,0.000544625,0.000544625,0.000544625
116,2321.18,0.95596,1.59138,0.92916,1.17386,0.57718,0.57616,0.66271,0.42335,0.54372,0.69225,0.69075,0.33526,1.21331,2.21188,1.42687,1.3016,0.000538438,0.000538438,0.000538438
117,2340.5,0.89131,1.46798,0.86147,1.10661,0.53555,0.62046,0.58653,0.37945,0.68678,0.60759,0.64598,0.31514,1.22185,2.18609,1.55261,1.339,0.00053225,0.00053225,0.00053225
118,2359.73,0.88969,1.55011,0.90125,1.12601,0.72573,0.53966,0.65983,0.41634,0.57534,0.71452,0.66756,0.32145,1.22866,2.2508,1.43701,1.33612,0.000526063,0.000526063,0.000526063
119,2378.89,0.87817,1.55563,0.8785,1.12435,0.79518,0.53778,0.65679,0.38882,0.84392,0.60019,0.70712,0.31272,1.23616,2.266,1.35984,1.32849,0.000519875,0.000519875,0.000519875
120,2398.19,0.86396,1.49624,0.90231,1.0879,0.67604,0.55892,0.57556,0.36878,0.7166,0.60371,0.61679,0.27449,1.24944,2.30743,1.78344,1.32438,0.000513688,0.000513688,0.000513688
121,2418.01,0.86068,1.50802,0.81928,1.08222,0.67425,0.56199,0.57476,0.36048,0.60353,0.6535,0.58649,0.26054,1.2649,2.30383,1.54085,1.33062,0.0005075,0.0005075,0.0005075
122,2437.38,0.89775,1.59613,0.89731,1.12757,0.53749,0.71881,0.5606,0.35754,0.54639,0.77259,0.58934,0.27807,1.27138,2.32303,1.67239,1.34049,0.000501313,0.000501313,0.000501313
123,2456.01,0.91564,1.57239,0.87494,1.14671,0.59227,0.6451,0.56614,0.37573,0.59227,0.6451,0.57257,0.2982,1.23724,2.14395,1.62507,1.31333,0.000495125,0.000495125,0.000495125
124,2475.41,0.85314,1.55444,0.83553,1.08348,0.56895,0.69279,0.62716,0.41241,0.50554,0.82743,0.63081,0.3319,1.19586,2.10831,1.40637,1.28545,0.000488938,0.000488938,0.000488938
125,2495.38,0.93967,1.64917,1.00235,1.14703,0.60804,0.63023,0.67427,0.44589,0.58374,0.60749,0.64334,0.34582,1.17463,2.08644,1.27382,1.26014,0.00048275,0.00048275,0.00048275
